T_HIP,T_THIGH,T_CALF,Environment,time,footforce,d_footforce_dt,environment
0.0007308821832188453,0.00715105070948856,0.0017551353650190858,Parking,5304.35,1246.8115334724812,44.050261454115876,Parking
0.0020659435788768082,0.018002961230863673,0.0044134814455968835,Parking,5304.45,1312.2747425748923,-484.26626970513854,Parking
0.0016440304435272112,0.011600036632566415,0.002838379388774963,Parking,5304.55,1665.8445305610005,-971.7311811881702,Parking
0.0009523683810911495,0.011988029983741733,0.0029449779342078882,Parking,5304.65,987.3069431539515,-1391.3053502459202,Parking
0.0016761424947159482,0.014503570969065113,0.00355463013546408,Parking,5304.76,978.5106029062741,-1717.6453646229736,Parking
0.0014927411963845027,0.010530877260714116,0.00257440127198454,Parking,5304.85,1386.8565174523283,-1939.7314625604274,Parking
0.0018117132745758525,0.014664612193808779,0.0035989974965985006,Parking,5304.96,1001.1138187979416,-2044.4461783296124,Parking
0.0023618695979455164,0.022492808329064605,0.00551959282477562,Parking,5305.06,1089.589372194865,-2023.6686560939074,Parking
0.0013441842126629857,0.016313346756212124,0.004002251584627006,Parking,5305.16,1319.58099410381,-1884.9543254813618,Parking
0.0010969603014561486,0.009855485082096318,0.002419052607390326,Parking,5305.26,843.72862935899,-1650.7067466712083,Parking
0.003048994948060995,0.02668946718390723,0.006547120874883259,Parking,5305.36,893.7146265013222,-1338.0896815185276,Parking
0.001094211522372223,0.012146619712685288,0.0029770271894582635,Parking,5305.46,847.6750556669696,-975.0591302854724,Parking
0.0009924752100601859,0.007883897040577112,0.001928916569459925,Parking,5305.56,1184.0586978693243,-595.1624490222645,Parking
0.0010966121305187723,0.012171442422597977,0.002984271946234524,Parking,5305.66,1288.0923879908614,-227.30941881814846,Parking
0.0012585125555463438,0.009007490381005626,0.0022072958740755955,Parking,5305.76,1232.8738783833487,97.31555190199238,Parking
0.0007280523646388681,0.007846806901608803,0.0019230177879930482,Parking,5305.86,1050.8230107872591,358.2517371554168,Parking
0.0023737491716579796,0.016310299973707296,0.003982539935859629,Parking,5305.96,991.3415153215363,531.4194210457639,Parking
0.0003730765337930249,0.004827823903780391,0.0011859782180971192,Parking,5306.06,912.8477419591944,623.6860287359464,Parking
0.0019548660294506238,0.013670787078759163,0.0033312783050663394,Parking,5306.17,1249.6759579987126,627.5162647182517,Parking
0.001831072197097937,0.01538425028995905,0.0037694751733313293,Parking,5306.27,943.156932859002,565.2366791264905,Parking
0.0009802658173869955,0.007753139722479873,0.0019025778454618248,Parking,5306.37,1571.4028764133022,448.92687595358507,Parking
0.0010245020505265515,0.00867935502095952,0.0021288632353632484,Parking,5306.47,912.6269774666976,289.25133910728493,Parking
0.002406726972524833,0.018124908351092175,0.004444927999955905,Parking,5306.57,1563.8088118436985,115.16300849865672,Parking
0.0018155881107946071,0.013748060558269787,0.0033727687759051756,Parking,5306.67,1049.680903894131,-63.06220689412765,Parking
0.0017025860125363193,0.014075032693680399,0.0034545674016179862,Parking,5306.77,843.3753612715989,-220.32262834257932,Parking
0.0023558808938554778,0.02051286919632129,0.005035159937738699,Parking,5306.87,1514.8953759253475,-339.44267690353814,Parking
0.0007023042516146782,0.007291775548842324,0.0017874774617887708,Parking,5306.97,832.9459766395418,-405.6264408951576,Parking
0.0004887860289618571,0.004945416130239745,0.0012119942143104768,Parking,5307.07,1217.3215666900876,-416.32909227877917,Parking
0.002447452032927492,0.018679534912665573,0.004579506615301469,Parking,5307.17,1204.421437869652,-345.759046039461,Parking
0.0008656688983866812,0.007356621460205274,0.0018025106669279937,Parking,5307.27,639.3191691166471,-196.09945758190386,Parking
0.001983084878081866,0.01455390400827955,0.0035678071266913992,Parking,5307.38,1302.4860843786394,24.84431898363452,Parking
0.0013286199623714387,0.010434907324907558,0.0025445729913834182,Parking,5307.48,1271.2603981875625,314.001108774297,Parking
0.0006211377256251494,0.005708921757687949,0.0013985740413662876,Parking,5307.58,1240.4853305671447,663.1515708910924,Parking
0.0013179598782814945,0.009931779944366543,0.0024243872226366596,Parking,5307.68,961.1481048429514,1049.2048213972896,Parking
0.002088025539192513,0.01479475661227386,0.0036141723500895057,Parking,5307.78,1262.201354341494,1449.4157694587036,Parking
0.0005694069553169153,0.006029066288799236,0.0014794442988613277,Parking,5307.88,869.9022933640306,1838.2374437536496,Parking
0.0014511195643525166,0.009040573195760057,0.00218985164947331,Parking,5307.98,916.7660552180147,2181.64542602213,Parking
0.001576349084213975,0.011635129304054645,0.002850569469968148,Parking,5308.08,1250.3047628478425,2446.8291738147063,Parking
0.0008410596679939287,0.01096213934455066,0.0026925831717242916,Parking,5308.18,922.4505406795532,2615.0889178717516,Parking
